horse_name,post_position,morning_line_odds,trainer,jockey,sire,dam,owner,weight,career_starts,career_wins,career_places,career_shows,career_earnings,last_race_days_ago,last_race_finish,last_race_speed_figure,best_speed_figure,avg_speed_figure,beyer_speed_figure,dirt_starts,dirt_wins,dist_starts,dist_wins,wet_starts,wet_wins,workouts_past_30,gate_class,stamina_index,pace_style
Renegade,1,4.0,Todd Pletcher,Irad Ortiz Jr.,Into Mischief,Spice Is Nice,Robert & Lawana Low & Repole Stable,126,8,4,2,1,890000,21,1,105,112,102,108,8,4,3,2,1,0,5,4,0.82,presser
Albus,2,30.0,Riley Mott,Manny Franco,Yaupon,Adream,Pin Oak Stud,126,,,,,,,,,,,,,,,,,,,,,
Intrepido,3,50.0,Jeff Mullins,Hector Berrios,Maximus Mischief,Overly Indulgent,Dutch Girl Holdings & Irving Ventures,126,,,,,,,,,,,,,,,,,,,,,
Litmus Test,4,30.0,Bob Baffert,Martin Garcia,Nyquist,Study Hard,SF Racing & Starlight Racing & Madaket Stables et al.,126,,,,,,,,,,,,,,,,,,,,,
Right To Party,5,30.0,Kenny McPeek,Chris Elliott,Constitution,Havin a Party,Chester Broman Sr.,126,,,,,,,,,,,,,,,,,,,,,
Commandment,6,6.0,Brad Cox,Luis Saez,Into Mischief,Sippican Harbor,Wathnan Racing,126,7,3,2,1,720000,14,1,107,111,103,106,7,3,3,2,1,0,5,4,0.85,closer
Danon Bourbon,7,20.0,Manabu Ikezoe,Atsuya Nishimura,Maxfield,Wild Ridge,Danox Co. Ltd.,126,,,,,,,,,,,,,,,,,,,,,
So Happy,8,15.0,Mark Glatt,Mike Smith,Runhappy,So Cunning,Norman Stables & Saints or Sinners,126,,,,,,,,,,,,,,,,,,,,,
The Puma,9,10.0,Gustavo Delgado,Javier Castellano,Essential Quality,Eve of War,OGMA Investments & JR Ranch & High Step Racing,126,8,3,2,1,510000,21,1,100,108,97,102,8,3,2,1,2,1,5,4,0.75,presser
Wonder Dean,10,30.0,Daisuke Takayanagi,Ryusei Sakai,Dee Majesty,Wonder Siang Praw,Yoshinari Yamamoto,126,,,,,,,,,,,,,,,,,,,,,
Incredibolt,11,20.0,Riley Mott,Jaime Torres,Bolt d'Oro,Sapphire Spitfire,Pin Oak Stud,126,,,,,,,,,,,,,,,,,,,,,
Chief Wallabee,12,8.0,Bill Mott,Junior Alvarado,Constitution,A La Lucie,Michael & Katherine Ball,126,8,3,2,2,580000,28,2,103,110,99,104,8,3,2,1,1,0,4,4,0.80,front
Silent Tactic,13,20.0,Mark Casse,Cristian Torres,Tacitus,Magical Sign,John C. Oxley,126,,,,,,,,,,,,,,,,,,,,,
Potente,14,20.0,Bob Baffert,Juan Hernandez,Into Mischief,Sweet Sting,Speedway Stables,126,,,,,,,,,,,,,,,,,,,,,
Emerging Market,15,15.0,Chad Brown,Flavien Prat,Candy Ride,Wild Empress,Klaravich Stables,126,9,3,2,2,430000,28,1,98,106,95,100,9,3,2,1,2,0,4,3,0.73,stalker
Pavlovian,16,30.0,Doug O'Neill,Edward Maldonado,Pavel,Mandy's Grace,Reddam Racing,126,,,,,,,,,,,,,,,,,,,,,
Six Speed,17,50.0,Bhupat Seemar,Brian Hernandez Jr.,Not This Time,Browse,Brunetti Dugan Stables & Black Type Thoroughbreds & Steve Adkisson & Swinbank Stables,126,,,,,,,,,,,,,,,,,,,,,
Further Ado,18,6.0,Brad Cox,John Velazquez,Gun Runner,Sky Dreamer,Spendthrift Farm,126,9,4,3,0,810000,14,1,108,113,104,110,9,4,3,2,2,1,5,4,0.86,presser
Golden Tempo,19,30.0,Cherie deVaux,Jose Ortiz,Curlin,Carrumba,Phipps Stable & St. Elias Stable,126,,,,,,,,,,,,,,,,,,,,,
Fulleffort,20,20.0,Brad Cox,Tyler Gaffalione,Liam's Map,Callmethesqueeze,St. Elias Stable & Starlight Racing,126,,,,,,,,,,,,,,,,,,,,,
