book_id,post_position,horse_name,decimal_odds,american_odds,morning_line,is_scratched
fanduel,1,Renegade,,,4-1,0
fanduel,2,Albus,,,30-1,0
fanduel,3,Intrepido,,,50-1,0
fanduel,4,Litmus Test,,,30-1,0
fanduel,5,Right To Party,,,30-1,0
fanduel,6,Commandment,,,6-1,0
fanduel,7,Danon Bourbon,,,20-1,0
fanduel,8,So Happy,,,15-1,0
fanduel,9,The Puma,,,10-1,0
fanduel,10,Wonder Dean,,,30-1,0
fanduel,11,Incredibolt,,,20-1,0
fanduel,12,Chief Wallabee,,,8-1,0
fanduel,13,Silent Tactic,,,20-1,0
fanduel,14,Potente,,,20-1,0
fanduel,15,Emerging Market,,,15-1,0
fanduel,16,Pavlovian,,,30-1,0
fanduel,17,Six Speed,,,50-1,0
fanduel,18,Further Ado,,,6-1,0
fanduel,19,Golden Tempo,,,30-1,0
fanduel,20,Fulleffort,,,20-1,0
