rank,horse_name,post_position,trainer,jockey,morning_line_odds,model_win_prob_pct,fair_odds,pace_fit_score,form_score,surface_dist_fit,value_score,bet_tag
1,Commandment,6,Brad Cox,Javier Castellano,6.0,12.18,7.21,0.8,0.8928,0.9148,0.0191,neutral
2,Renegade,1,Todd Pletcher,John Velazquez,4.0,11.47,7.72,0.65,1.0,0.9806,-0.0291,underlay
3,Further Ado,18,Bill Mott,Irad Ortiz Jr.,6.0,11.41,7.76,0.65,0.8839,0.9375,0.0114,neutral
4,Valiant Knight,11,Todd Pletcher,Luis Saez,8.0,8.44,10.85,0.65,0.8644,0.8809,0.0045,neutral
5,The Puma,9,Doug O'Neill,Victor Espinoza,10.0,6.62,14.11,0.65,0.7183,0.7073,0.0008,neutral
6,Chief Wallabee,12,Wayne Lukas,Joseph Talamo,8.0,6.13,15.31,0.55,0.7344,0.7315,-0.0186,neutral
7,Emerging Market,15,Chad Brown,Joel Rosario,15.0,5.28,17.95,0.7,0.6882,0.6507,0.0078,neutral
8,Desert Storm,2,Bob Baffert,Mike Smith,12.0,5.14,18.45,0.8,0.4917,0.5923,-0.0039,neutral
9,Royal Flush,14,Michael McCarthy,Florent Geroux,18.0,4.4,21.71,0.65,0.5969,0.5875,0.0062,neutral
10,Silver Bullet,5,Chad Brown,Flavien Prat,25.0,4.35,22.0,0.65,0.4883,0.7112,0.0158,neutral
11,Blue Thunder,7,Mark Casse,Patrick Husbands,15.0,3.64,26.44,0.7,0.5094,0.2366,-0.0085,neutral
12,Golden Gate,10,John Shirreffs,Kent Desormeaux,20.0,3.63,26.57,0.7,0.4892,0.5279,0.002,neutral
13,Lucky Strike,17,Art Sherman,Manuel Franco,22.0,3.27,29.62,0.55,0.4811,0.5231,0.0014,neutral
14,Iron Will,3,Steve Asmussen,Ricardo Albarado,20.0,2.76,35.21,0.7,0.3996,0.1908,-0.0066,neutral
15,Storm Dancer,13,Bill Mott,Dylan Davis,35.0,2.27,43.01,0.8,0.2317,0.1666,0.0027,neutral
16,Lone Star,19,Steve Asmussen,Ricardo Santana Jr.,28.0,2.22,44.1,0.7,0.2991,0.2075,-0.0026,neutral
17,Midnight Serenade,4,Todd Pletcher,Tyler Gaffalione,30.0,1.96,49.94,0.8,0.1733,0.0944,-0.0036,neutral
18,Phantom Rider,16,Tom Amoss,Brian Hernandez Jr.,40.0,1.85,53.09,0.8,0.1093,0.0145,0.0009,neutral
19,Mountain King,20,Ken McPeek,Joe Rocco Jr.,45.0,1.73,56.74,0.8,0.0767,0.0125,0.0017,neutral
20,Crimson Tide,8,Larry Jones,Chris Landeros,50.0,1.25,78.76,0.55,0.0,0.0048,-0.0016,neutral
