speed_last,speed_best,speed_avg,beyer_last,speed_best_3,pace_early_mean_3,pace_mid_mean_3,finish_energy_proxy,form_cycle_idx,layoff_days,career_win_pct,career_itm_pct,class_delta,field_strength_last,horses_beaten_pct_last,field_size_exp,works_30d,bullet_30d,days_since_last_work,work_readiness_score,trainer_intent_proxy,trainer_jockey_itm_cond,jockey_route_cond,trainer_derby_cond,surface_fit,distance_fit,route_progression,pedigree_route_proxy,post_win_bias,gate_reliability,trouble_recovery_proxy,traffic_resilience_proxy,early_intent,run_style_bucket,pace_pressure,lone_speed_edge,collapse_risk,pace_fit_score,market_implied_prob,morning_line_rank,publicness_score,public_underlay_penalty,classic_distance_projection,churchill_readiness,jan_apr_improvement_curve,derby_override_score,entry_id,horse_id,card_id,horse_name,post_position,build_ts
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.071429,7,,0.5,,,,0.685,169,164,22,Gran Andrews,1,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.083333,6,,0.5,,,,0.685,170,165,22,Ascendance,2,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.222222,1,,0.5,,,,0.685,178,173,22,General Issue,3,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.153846,4,,0.5,,,,0.685,171,166,22,Sisyphus,4,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.181818,2,,0.5,,,,0.685,172,167,22,Spurs Up,5,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.03125,10,,0.5,,,,0.685,173,168,22,Blameitonthefun,6,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.166667,3,,0.5,,,,0.685,174,169,22,Head Lad,7,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.045455,9,,0.5,,,,0.685,175,170,22,Iceteca,8,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.1,5,,0.5,,,,0.685,176,171,22,English Painter,9,2026-05-10T01:10:21Z
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.72,,,,,,,0.0,0,0.0,0.65,0.071429,7,,0.5,,,,0.685,177,172,22,Rhumjar,10,2026-05-10T01:10:21Z
