book_id,race_id,program_number,decimal_odds,morning_line,is_morning_line,is_scratched,captured_at
morningline,AQU|2023-11-02|7,1,,5-2,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,1A,,5-2,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,2,,4-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,3,,15-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,4,,8-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,5,,20-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,6,,12-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,7,,30-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,8,,15-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,9,,30-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,10,,8-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,11,,20-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,12,,10-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,13,,30-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,14,,12-1,1,0,2023-11-02T08:00:00Z
morningline,AQU|2023-11-02|7,15,,20-1,1,0,2023-11-02T08:00:00Z
fanduel,AQU|2023-11-02|7,1,3.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,1A,3.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,2,5.5,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,3,18.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,4,9.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,5,22.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,6,15.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,7,35.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,8,17.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,9,32.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,10,8.5,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,11,25.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,12,11.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,13,40.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,14,13.0,,0,0,2023-11-02T18:00:00Z
fanduel,AQU|2023-11-02|7,15,22.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,1,3.2,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,1A,3.2,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,2,5.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,3,17.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,4,9.5,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,5,21.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,6,14.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,7,38.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,8,16.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,9,30.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,10,9.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,11,24.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,12,10.5,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,13,42.0,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,14,12.5,,0,0,2023-11-02T18:00:00Z
draftkings,AQU|2023-11-02|7,15,21.0,,0,0,2023-11-02T18:00:00Z
