book_id,race_id,program_number,decimal_odds,american_odds,morning_line,is_morning_line,is_scratched,captured_at
morningline,CD|2026-05-02|12,1,,,4-1,1,0,
morningline,CD|2026-05-02|12,2,,,6-1,1,0,
morningline,CD|2026-05-02|12,3,,,8-1,1,0,
morningline,CD|2026-05-02|12,4,,,15-1,1,0,
morningline,CD|2026-05-02|12,5,,,20-1,1,0,
fanduel,CD|2026-05-02|12,1,5.5,,,0,0,2026-05-02T22:30:00Z
fanduel,CD|2026-05-02|12,2,7.0,,,0,0,2026-05-02T22:30:00Z
fanduel,CD|2026-05-02|12,3,9.5,,,0,0,2026-05-02T22:30:00Z
fanduel,CD|2026-05-02|12,4,16.0,,,0,0,2026-05-02T22:30:00Z
fanduel,CD|2026-05-02|12,5,21.0,,,0,0,2026-05-02T22:30:00Z
draftkings,CD|2026-05-02|12,1,5.4,,,0,0,2026-05-02T22:30:00Z
draftkings,CD|2026-05-02|12,2,6.8,,,0,0,2026-05-02T22:30:00Z
draftkings,CD|2026-05-02|12,3,9.0,,,0,0,2026-05-02T22:30:00Z
twinspires,CD|2026-05-02|12,1,5.6,,,0,0,2026-05-02T22:30:00Z
twinspires,CD|2026-05-02|12,2,7.2,,,0,0,2026-05-02T22:30:00Z
